URL_ID,URL,Positive Score,Negative Score,Polarity Score,Subjectivity Score,Avg Sentence Length,Percentage of Complex Words,Fog Index,Avg Number of Words Per Sentence,Complex Word Count,Word Count,Syllable Per Word,Personal Pronouns,Avg Word Length
blackassign0039.txt,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,63,-55,14.75,0.004,20.28421052631579,0.18733783082511676,8.188619342856363,20.28421052631579,361,1927,1.7586922677737415,3,5.212765957446808
blackassign0040.txt,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,49,-23,2.769,0.02,20.49206349206349,0.24167312161115415,8.293494645469858,20.49206349206349,312,1291,1.8830364058869093,12,5.663826491092177
blackassign0041.txt,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,49,-30,4.158,0.015,15.282352941176471,0.20323325635103925,6.194234479011005,15.282352941176471,264,1299,1.775211701308699,8,5.284064665127021
blackassign0042.txt,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,67,-25,2.19,0.025,25.37878787878788,0.1707462686567164,10.21981365897784,25.37878787878788,286,1675,1.6823880597014926,33,5.054925373134329
blackassign0043.txt,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,76,-21,1.764,0.035,18.63529411764706,0.21843434343434343,7.541491384432561,18.63529411764706,346,1584,1.7840909090909092,13,5.323863636363637
blackassign0044.txt,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,35,-1,1.059,0.052,24.037037037037038,0.26194144838212635,9.719591394167667,24.037037037037038,170,649,1.9306625577812018,2,5.793528505392912
blackassign0045.txt,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,105,-40,2.231,0.035,133.71428571428572,0.16826923076923078,53.55302197802198,133.71428571428572,315,1872,1.6607905982905984,18,4.975961538461538
blackassign0046.txt,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,30,-1,1.069,0.032,18.12,0.23730684326710816,7.342922737306845,18.12,215,906,1.8311258278145695,2,5.381898454746137
blackassign0047.txt,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,24,-6,1.667,0.021,19.133333333333333,0.2845528455284553,7.767154471544716,19.133333333333333,245,861,1.9558652729384436,3,5.709639953542393
blackassign0048.txt,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,11,-4,2.143,0.019,30.833333333333332,0.25675675675675674,12.436036036036036,30.833333333333332,95,370,1.9891891891891893,4,5.818918918918919
